
Validation set: Average loss:0.143985,Accuracy:2075/10000 = 20.750000 

Validation set: Average loss:0.152916,Accuracy:3083/10000 = 30.830000 

Validation set: Average loss:0.126158,Accuracy:4086/10000 = 40.860000 

Validation set: Average loss:0.097614,Accuracy:3960/10000 = 39.600000 

Validation set: Average loss:0.088429,Accuracy:4914/10000 = 49.140000 

Validation set: Average loss:0.093032,Accuracy:4967/10000 = 49.670000 

Validation set: Average loss:0.073323,Accuracy:5406/10000 = 54.060000 

Validation set: Average loss:0.074847,Accuracy:5379/10000 = 53.790000 

Validation set: Average loss:0.076645,Accuracy:5404/10000 = 54.040000 

Validation set: Average loss:0.076170,Accuracy:5629/10000 = 56.290000 

Validation set: Average loss:0.078042,Accuracy:5660/10000 = 56.600000 

Validation set: Average loss:0.083220,Accuracy:5700/10000 = 57.000000 

Validation set: Average loss:0.083125,Accuracy:5798/10000 = 57.980000 

Validation set: Average loss:0.099875,Accuracy:5671/10000 = 56.710000 

Validation set: Average loss:0.085061,Accuracy:5959/10000 = 59.590000 

Validation set: Average loss:0.083866,Accuracy:6077/10000 = 60.770000 

Validation set: Average loss:0.083406,Accuracy:6165/10000 = 61.650000 

Validation set: Average loss:0.083899,Accuracy:6188/10000 = 61.880000 

Validation set: Average loss:0.084384,Accuracy:6142/10000 = 61.420000 

Validation set: Average loss:0.084195,Accuracy:6242/10000 = 62.420000 

Validation set: Average loss:0.084923,Accuracy:6190/10000 = 61.900000 

Validation set: Average loss:0.083970,Accuracy:6228/10000 = 62.280000 

Validation set: Average loss:0.084398,Accuracy:6246/10000 = 62.460000 

Validation set: Average loss:0.085042,Accuracy:6233/10000 = 62.330000 

Validation set: Average loss:0.085591,Accuracy:6227/10000 = 62.270000 

Validation set: Average loss:0.086122,Accuracy:6240/10000 = 62.400000 

Validation set: Average loss:0.085228,Accuracy:6267/10000 = 62.670000 

Validation set: Average loss:0.086098,Accuracy:6229/10000 = 62.290000 

Validation set: Average loss:0.087134,Accuracy:6247/10000 = 62.470000 

Validation set: Average loss:0.085797,Accuracy:6251/10000 = 62.510000 
